id,lingua,categoria,livello,fase,persona,territorio,regione,domanda,keyword,ricerche_anno
OBS-C-d354699d-IT,it,borghi,comparative,sogno,,Campania,Campania,quali sono i borghi più belli in Campania?,borghi campania,6580
OBS-C-d6b2d3e4-IT,it,borghi,comparative,sogno,,Abruzzo,Abruzzo,quali sono i borghi più belli in Abruzzo?,borghi abruzzo,11510
OBS-C-dfe0e4f6-IT,it,borghi,comparative,sogno,,Liguria,Liguria,quali sono i borghi più belli in Liguria?,borghi liguria,8130
OBS-C-f0fc5b79-EN,en,borghi,comparative,hotel,,Friuli-Venezia Giulia,Friuli-Venezia Giulia,where to stay in a historic village in Friuli Venezia Giulia?,albergo diffuso friuli venezia giulia,1260
OBS-C-f202cd7f-IT,it,borghi,comparative,sogno,,Toscana,Toscana,quali sono i borghi più belli in Toscana?,borghi toscana,27000
OBS-C-f81afc20-IT,it,borghi,comparative,sogno,,Emilia-Romagna,Emilia-Romagna,quali sono i borghi più belli in Emilia-Romagna?,borghi emilia romagna,14900
OBS-C-f9735313-EN,en,borghi,comparative,sogno,,Abruzzo,Abruzzo,what are the most beautiful villages in Abruzzo?,abruzzo villages,1620
OBS-C-fa49863a-IT,it,borghi,comparative,sogno,,Calabria,Calabria,quali sono i borghi più belli in Calabria?,borghi calabria,3970
OBS-I-004b80db-IT,it,borghi,internal,organizzazione,,Campiglia Marittima,Toscana,cosa vedere a Campiglia Marittima?,cosa vedere campiglia marittima,5520
OBS-I-00817c2f-IT,it,borghi,internal,hotel,,Marzamemi,Sicilia,quali sono i migliori hotel a Marzamemi?,hotel marzamemi,12110
OBS-I-008d8a1b-IT,it,borghi,internal,organizzazione,,Gangi,Sicilia,cosa vedere a Gangi?,gangi cosa vedere,5160
OBS-I-008fd71d-IT,it,borghi,internal,hotel,,Taggia,Liguria,quali sono i migliori hotel a Taggia?,hotel taggia,2020
OBS-I-00c0fb45-IT,it,borghi,internal,hotel,,Montalcino,Toscana,quali sono i migliori hotel a Montalcino?,hotel montalcino,10840
OBS-I-02758225-IT,it,borghi,internal,hotel,economici,Alberobello,Puglia,quali sono i migliori hotel economici ad Alberobello?,hotel economici alberobello,1760
OBS-I-046638ea-EN,en,borghi,internal,hotel,,Torgiano,Umbria,what are the best hotels in Torgiano?,torgiano hotels,1710
OBS-I-04a3adb4-IT,it,borghi,internal,hotel,,Frascati,Lazio,quali sono i migliori hotel a Frascati?,hotel frascati,14340
OBS-I-05c11688-EN,en,borghi,internal,hotel,,Ercolano,Campania,what are the best hotels in Ercolano?,hotels in ercolano,10300
OBS-I-05f3d14d-IT,it,borghi,internal,hotel,,Gradisca d'Isonzo,Friuli-Venezia Giulia,quali sono i migliori hotel a Gradisca d'Isonzo?,hotel gradisca d'isonzo,1640
OBS-I-0622042b-IT,it,borghi,internal,hotel,,Palazzolo Acreide,Sicilia,quali sono i migliori hotel a Palazzolo Acreide?,hotel palazzolo acreide,1840
OBS-I-06365a4d-IT,it,borghi,internal,organizzazione,,Asolo,Veneto,cosa vedere ad Asolo?,cosa vedere asolo,19900
OBS-I-0664a430-IT,it,borghi,internal,hotel,,Portovenere,Liguria,quali sono i migliori hotel a Portovenere?,hotel portovenere,21280
OBS-I-0698811d-EN,en,borghi,internal,hotel,,Sauris,Friuli-Venezia Giulia,what are the best hotels in Sauris?,sauris hotels,8180
OBS-I-06b025b9-IT,it,borghi,internal,organizzazione,,Soave,Veneto,cosa vedere a Soave?,cosa vedere soave,6190
OBS-I-071169bf-IT,it,borghi,internal,hotel,,Cittadella,Veneto,quali sono i migliori hotel a Cittadella?,hotel cittadella,4980
OBS-I-07191ad2-IT,it,borghi,internal,hotel,,Barga,Toscana,quali sono i migliori hotel a Barga?,hotel barga,2040
OBS-I-073fa1a5-IT,it,borghi,internal,hotel,,Gradara,Marche,quali sono i migliori hotel a Gradara?,hotel gradara,19660
OBS-I-07b090b4-EN,en,borghi,internal,hotel,,Posada,Sardegna,what are the best hotels in Posada?,posada hotels,25300
OBS-I-07c22dae-IT,it,borghi,internal,organizzazione,,Scilla,Calabria,cosa vedere a Scilla?,cosa vedere scilla,9380
OBS-I-0879cdf8-IT,it,borghi,internal,hotel,,Noli,Liguria,quali sono i migliori hotel a Noli?,hotel noli,17140
OBS-I-08afee60-EN,en,borghi,internal,organizzazione,,Erice,Sicilia,what to see in Erice?,things to do in erice,1940
OBS-I-0a97a42c-IT,it,borghi,internal,organizzazione,,Corinaldo,Marche,cosa vedere a Corinaldo?,cosa vedere corinaldo,11570
OBS-I-0b09a221-IT,it,borghi,internal,hotel,,Geraci Siculo,Sicilia,quali sono i migliori hotel a Geraci Siculo?,hotel geraci siculo,1290
OBS-I-0b56e289-EN,en,borghi,internal,hotel,,Neive,Piemonte,what are the best hotels in Neive?,neive hotels,3430
OBS-I-0bb32c8c-IT,it,borghi,internal,hotel,,Clusone,Lombardia,quali sono i migliori hotel a Clusone?,hotel clusone,11280
OBS-I-0c86bc47-IT,it,borghi,internal,organizzazione,,Anghiari,Toscana,cosa vedere ad Anghiari?,cosa vedere anghiari,18580
OBS-I-0c8ac3c8-EN,en,borghi,internal,hotel,,Tempio Pausania,Sardegna,what are the best hotels in Tempio Pausania?,tempio pausania hotels,4720
OBS-I-0da7328b-EN,en,borghi,internal,hotel,,Candelo,Piemonte,what are the best hotels in Candelo?,candelo hotels,4210
OBS-I-0dddf236-IT,it,borghi,internal,organizzazione,,Posada,Sardegna,cosa vedere a Posada?,cosa vedere posada,2000
OBS-I-0e141130-IT,it,borghi,internal,organizzazione,,Follina,Veneto,cosa vedere a Follina?,follina cosa vedere,2510
OBS-I-0e87b702-EN,en,borghi,internal,hotel,,Alberobello,Puglia,what are the best hotels in Alberobello?,hotels in alberobello,10650
OBS-I-0ec67063-EN,en,borghi,internal,hotel,,Cividale del Friuli,Friuli-Venezia Giulia,what are the best hotels in Cividale del Friuli?,cividale del friuli hotels,6970
OBS-I-0f1d0436-EN,en,borghi,internal,hotel,,Pietrapertosa,Basilicata,what are the best hotels in Pietrapertosa?,pietrapertosa hotels,1020
OBS-I-0f263969-IT,it,borghi,internal,hotel,,Maruggio,Puglia,quali sono i migliori hotel a Maruggio?,hotel maruggio,1400
OBS-I-0f864719-IT,it,borghi,internal,organizzazione,,Apricale,Liguria,cosa vedere ad Apricale?,apricale cosa vedere,3120
OBS-I-0f900f3c-IT,it,borghi,internal,organizzazione,,Cornello dei Tasso,Lombardia,cosa vedere a Cornello dei Tasso?,cornello dei tasso cosa vedere,4250
OBS-I-0feecab4-IT,it,borghi,internal,hotel,,Montaione,Toscana,quali sono i migliori hotel a Montaione?,hotel montaione,1180
OBS-I-1024e599-EN,en,borghi,internal,hotel,,Vipiteno,Trentino-Alto Adige,what are the best hotels in Vipiteno?,hotels in vipiteno,60600
OBS-I-1073a1ed-IT,it,borghi,internal,hotel,,Castel Gandolfo,Lazio,quali sono i migliori hotel a Castel Gandolfo?,hotel castel gandolfo,16800
OBS-I-1122d94b-IT,it,borghi,internal,organizzazione,,Montalcino,Toscana,cosa vedere a Montalcino?,cosa vedere montalcino,17660
OBS-I-11c8225d-IT,it,borghi,internal,hotel,,Tortona; Vho ,Piemonte,quali sono i migliori hotel a Tortona?,hotel tortona,9930
OBS-I-11c9a113-IT,it,borghi,internal,organizzazione,,Montalbano Elicona,Sicilia,cosa vedere a Montalbano Elicona?,montalbano elicona cosa vedere,2100
OBS-I-13bb46c4-IT,it,borghi,internal,hotel,,Cison di Valmarino,Veneto,quali sono i migliori hotel a Cison di Valmarino?,hotel cison di valmarino,1410
OBS-I-13cd8fd7-IT,it,borghi,internal,organizzazione,,Bassano del Grappa,Veneto,cosa vedere a Bassano del Grappa?,cosa vedere a bassano del grappa,21400
OBS-I-13d2d6e2-IT,it,borghi,internal,hotel,,San Gimignano,Toscana,quali sono i migliori hotel a San Gimignano?,san gimignano hotel,16160
OBS-I-14854a24-IT,it,borghi,internal,hotel,,Camogli,Liguria,quali sono i migliori hotel a Camogli?,hotel camogli,34200
OBS-I-156f2576-IT,it,borghi,internal,organizzazione,,Sperlinga,Sicilia,cosa vedere a Sperlinga?,sperlinga cosa vedere,3400
OBS-I-162326e6-EN,en,borghi,internal,hotel,,Marino,Lazio,what are the best hotels in Marino?,marino hotels,32700
OBS-I-16599f2a-EN,en,borghi,internal,hotel,,Castelmola,Sicilia,what are the best hotels in Castelmola?,castelmola hotels,1320
OBS-I-17297109-IT,it,borghi,internal,organizzazione,,Borghetto; Valeggio sul Mincio ,Veneto,cosa vedere a Borghetto; Valeggio sul Mincio?,borghetto valeggio sul mincio cosa vedere,1760
OBS-I-175ad425-IT,it,borghi,internal,organizzazione,,Guardia Perticara,Basilicata,cosa vedere a Guardia Perticara?,guardia perticara cosa vedere,1880
OBS-I-183e1d82-IT,it,borghi,internal,hotel,,Todi,Umbria,quali sono i migliori hotel a Todi?,hotel todi,7800
OBS-I-187f3bcf-IT,it,borghi,internal,hotel,,Chiusi,Toscana,quali sono i migliori hotel a Chiusi?,hotel chiusi,2910
OBS-I-18f10208-IT,it,borghi,internal,organizzazione,,Brisighella,Emilia-Romagna,cosa vedere a Brisighella?,cosa vedere brisighella,17800
OBS-I-192a6965-IT,it,borghi,internal,hotel,,Norcia,Umbria,quali sono i migliori hotel a Norcia?,hotel norcia,9870
OBS-I-194d4ad6-IT,it,borghi,internal,hotel,,Manarola,Liguria,quali sono i migliori hotel a Manarola?,hotel manarola,5880
OBS-I-1baa91fd-EN,en,borghi,internal,hotel,,Castelvetro di Modena,Emilia-Romagna,what are the best hotels in Castelvetro di Modena?,castelvetro di modena hotels,1450
OBS-I-1be3bbaa-IT,it,borghi,internal,organizzazione,,Garessio,Piemonte,cosa vedere a Garessio?,garessio cosa vedere,1510
OBS-I-1be5de00-IT,it,borghi,internal,organizzazione,,Caprarola,Lazio,cosa vedere a Caprarola?,cosa vedere caprarola,5420
OBS-I-1ca8b2c6-IT,it,borghi,internal,organizzazione,,Scheggino,Umbria,cosa vedere a Scheggino?,scheggino cosa vedere,4810
OBS-I-1ccf27ab-IT,it,borghi,internal,organizzazione,,Ostana,Piemonte,cosa vedere a Ostana?,ostana cosa vedere,4440
OBS-I-1ce2e122-EN,en,borghi,internal,organizzazione,,San Gimignano,Toscana,what to see in San Gimignano?,things to do in san gimignano,18260
OBS-I-1d009e17-EN,en,borghi,internal,hotel,,Melfi,Basilicata,what are the best hotels in Melfi?,melfi hotels,1170
OBS-I-1d95112d-IT,it,borghi,internal,hotel,,Rocca Calascio,Abruzzo,quali sono i migliori hotel a Rocca Calascio?,hotel rocca calascio,2460
OBS-I-1dcf5ecb-IT,it,borghi,internal,organizzazione,,Pompei,Campania,cosa vedere a Pompei?,cosa vedere a pompei,10020
OBS-I-1de29cf5-EN,en,borghi,internal,hotel,,Gangi,Sicilia,what are the best hotels in Gangi?,hotels in gangi,5290
OBS-I-1e1d0419-IT,it,borghi,internal,organizzazione,,Montegridolfo,Emilia-Romagna,cosa vedere a Montegridolfo?,montegridolfo cosa vedere,2890
OBS-I-1e47f30f-EN,en,borghi,internal,hotel,,Carloforte,Sardegna,what are the best hotels in Carloforte?,carloforte hotels,13060
OBS-I-1e951d73-IT,it,borghi,internal,organizzazione,,Irsina,Basilicata,cosa vedere a Irsina?,irsina cosa vedere,2770
OBS-I-1f87fb16-IT,it,borghi,internal,hotel,,Castelsardo,Sardegna,quali sono i migliori hotel a Castelsardo?,hotel castelsardo,9170
OBS-I-1f8a68fa-EN,en,borghi,internal,hotel,,Pitigliano,Toscana,what are the best hotels in Pitigliano?,pitigliano hotels,9230
OBS-I-1ffe5c32-IT,it,borghi,internal,organizzazione,,San Leo,Emilia-Romagna,cosa vedere a San Leo?,cosa vedere san leo,7440
OBS-I-200f8da2-IT,it,borghi,internal,hotel,,Ivrea,Piemonte,quali sono i migliori hotel a Ivrea?,hotel ivrea,9210
OBS-I-20b56a63-IT,it,borghi,internal,organizzazione,,Sadali,Sardegna,cosa vedere a Sadali?,sadali cosa vedere,1900
OBS-I-21591ceb-IT,it,borghi,internal,organizzazione,,Nemi,Lazio,cosa vedere a Nemi?,nemi cosa vedere,7000
OBS-I-21776d03-IT,it,borghi,internal,organizzazione,,Zavattarello,Lombardia,cosa vedere a Zavattarello?,zavattarello cosa vedere,4590
OBS-I-2212a80f-IT,it,borghi,internal,organizzazione,,Corniglia,Liguria,cosa vedere a Corniglia?,cosa vedere corniglia,5180
OBS-I-222303cc-EN,en,borghi,internal,organizzazione,,Pienza,Toscana,what to see in Pienza?,things to do in pienza,6770
OBS-I-22a83967-IT,it,borghi,internal,organizzazione,,Cisternino,Puglia,cosa vedere a Cisternino?,cosa vedere cisternino,9210
OBS-I-23013cc8-IT,it,borghi,internal,organizzazione,,Furore,Campania,cosa vedere a Furore?,furore cosa vedere,1000
OBS-I-241c0cf7-EN,en,borghi,internal,hotel,,Arco,Trentino-Alto Adige,what are the best hotels in Arco?,arco hotels,23500
OBS-I-24c8a87d-IT,it,borghi,internal,hotel,,Subiaco,Lazio,quali sono i migliori hotel a Subiaco?,hotel subiaco,6060
OBS-I-24c97d07-EN,en,borghi,internal,hotel,lusso,Ostuni,Puglia,what are the best luxury hotels in Ostuni?,ostuni luxury hotels,1530
OBS-I-25f94fd6-IT,it,borghi,internal,hotel,,Glorenza,Trentino-Alto Adige,quali sono i migliori hotel a Glorenza?,glorenza hotel,2590
OBS-I-261489aa-IT,it,borghi,internal,organizzazione,,Gradara,Marche,cosa vedere a Gradara?,cosa vedere gradara,14500
OBS-I-269761cd-EN,en,borghi,internal,hotel,,Petralia Soprana,Sicilia,what are the best hotels in Petralia Soprana?,petralia soprana hotels,1230
OBS-I-26d63eab-IT,it,borghi,internal,organizzazione,,Frontino,Marche,cosa vedere a Frontino?,frontino cosa vedere,1480
OBS-I-26f5b0ba-IT,it,borghi,internal,organizzazione,,Marzamemi,Sicilia,cosa vedere a Marzamemi?,marzamemi cosa vedere,19170
OBS-I-2769b9d6-IT,it,borghi,internal,organizzazione,,Santa Severina,Calabria,cosa vedere a Santa Severina?,santa severina cosa vedere,1300
OBS-I-27dec3ab-EN,en,borghi,internal,hotel,,Mel,Veneto,what are the best hotels in Mel?,mel hotels,596000
OBS-I-285f9037-IT,it,borghi,internal,organizzazione,,Panicale,Umbria,cosa vedere a Panicale?,panicale cosa vedere,2520
OBS-I-2864b150-IT,it,borghi,internal,organizzazione,,Roccascalegna,Abruzzo,cosa vedere a Roccascalegna?,roccascalegna cosa vedere,1150
OBS-I-28e857fb-IT,it,borghi,internal,hotel,,Bertinoro,Emilia-Romagna,quali sono i migliori hotel a Bertinoro?,hotel bertinoro,1990
OBS-I-293de716-EN,en,borghi,internal,hotel,,Campiglia Marittima,Toscana,what are the best hotels in Campiglia Marittima?,campiglia marittima hotels,3480
OBS-I-29789c5c-IT,it,borghi,internal,hotel,economici,Gubbio,Umbria,quali sono i migliori hotel economici a Gubbio?,hotel economici gubbio,1730
OBS-I-29fdb56a-EN,en,borghi,internal,hotel,economici,Palmanova,Friuli-Venezia Giulia,what are the best budget hotels in Palmanova?,palmanova cheap hotels,2470
OBS-I-2b054c2f-EN,en,borghi,internal,organizzazione,,Portovenere,Liguria,what to see in Portovenere?,things to do in portovenere,1500
OBS-I-2bb2e25d-IT,it,borghi,internal,organizzazione,,Cocconato,Piemonte,cosa vedere a Cocconato?,cocconato cosa vedere,2390
OBS-I-2bf2ef4d-IT,it,borghi,internal,hotel,,Fagagna,Friuli-Venezia Giulia,quali sono i migliori hotel a Fagagna?,hotel fagagna,1290
OBS-I-2d6f8a0f-IT,it,borghi,internal,organizzazione,,Castelmola,Sicilia,cosa vedere a Castelmola?,cosa vedere castelmola,3420
OBS-I-2dac0d30-IT,it,borghi,internal,organizzazione,,Clauiano,Friuli-Venezia Giulia,cosa vedere a Clauiano?,clauiano cosa vedere,1640
OBS-I-2dcdff02-IT,it,borghi,internal,hotel,,Egna/Neumarkt ,Trentino-Alto Adige,quali sono i migliori hotel a Egna?,hotel egna,3150
OBS-I-2eb3df9f-EN,en,borghi,internal,hotel,,Geraci Siculo,Sicilia,what are the best hotels in Geraci Siculo?,geraci siculo hotels,1360
OBS-I-2f20352b-IT,it,borghi,internal,hotel,economici,Camogli,Liguria,quali sono i migliori hotel economici a Camogli?,hotel economici camogli,1820
OBS-I-2f9e3157-IT,it,borghi,internal,hotel,,Follina,Veneto,quali sono i migliori hotel a Follina?,hotel follina,1310
OBS-I-2fa68dd3-IT,it,borghi,internal,organizzazione,,Montefalco,Umbria,cosa vedere a Montefalco?,montefalco cosa vedere,12050
OBS-I-2fcfc214-IT,it,borghi,internal,organizzazione,,Specchia,Puglia,cosa vedere a Specchia?,specchia cosa vedere,3700
OBS-I-30592067-IT,it,borghi,internal,hotel,,Anagni,Lazio,quali sono i migliori hotel ad Anagni?,hotel anagni,8600
OBS-I-30c12129-EN,en,borghi,internal,hotel,,Trevi,Umbria,what are the best hotels in Trevi?,trevi hotels,15000
OBS-I-30f629c8-EN,en,borghi,internal,hotel,,Portovenere,Liguria,what are the best hotels in Portovenere?,portovenere hotels,32400
OBS-I-3180caaa-IT,it,borghi,internal,hotel,,Venzone,Friuli-Venezia Giulia,quali sono i migliori hotel a Venzone?,hotel venzone,1240
OBS-I-31de8fd5-EN,en,borghi,internal,hotel,,Greccio,Lazio,what are the best hotels in Greccio?,greccio hotels,2420
OBS-I-321151f9-EN,en,borghi,internal,hotel,,Brugnato,Liguria,what are the best hotels in Brugnato?,brugnato hotels,1140
OBS-I-332bb03c-IT,it,borghi,internal,organizzazione,,Pienza,Toscana,cosa vedere a Pienza?,cosa vedere pienza,36200
OBS-I-333f509e-IT,it,borghi,internal,hotel,lusso,Ostuni,Puglia,quali sono i migliori hotel di lusso a Ostuni?,hotel 5 stelle ostuni,1470
OBS-I-33562923-IT,it,borghi,internal,organizzazione,,Offagna,Marche,cosa vedere a Offagna?,offagna cosa vedere,5830
OBS-I-336e7161-IT,it,borghi,internal,hotel,,Arquà Petrarca,Veneto,quali sono i migliori hotel ad Arquà Petrarca?,hotel arquà petrarca,1150
OBS-I-34026f6e-EN,en,borghi,internal,hotel,,Monte Sant'Angelo,Puglia,what are the best hotels in Monte Sant'Angelo?,monte sant'angelo hotels,1600
OBS-I-349aa6a0-IT,it,borghi,internal,organizzazione,,Gerace,Calabria,cosa vedere a Gerace?,gerace cosa vedere,3750
OBS-I-3518e0d3-EN,en,borghi,internal,hotel,,Sarnano,Marche,what are the best hotels in Sarnano?,sarnano hotels,4790
OBS-I-35e101af-EN,en,borghi,internal,organizzazione,,Martina Franca,Puglia,what to see in Martina Franca?,things to do in martina franca,2180
OBS-I-35fdcae5-IT,it,borghi,internal,organizzazione,,Morimondo,Lombardia,cosa vedere a Morimondo?,morimondo cosa vedere,3480
OBS-I-3645f29b-EN,en,borghi,internal,hotel,,Vitorchiano,Lazio,what are the best hotels in Vitorchiano?,vitorchiano hotels,1840
OBS-I-376060f9-EN,en,borghi,internal,hotel,lusso,Ravello,Campania,what are the best luxury hotels in Ravello?,luxury hotels in ravello,22400
OBS-I-37885051-EN,en,borghi,internal,hotel,,Canale di Tenno; Tenno ,Trentino-Alto Adige,what are the best hotels in Tenno?,hotels in tenno,3140
OBS-I-38460e93-EN,en,borghi,internal,hotel,,Montepulciano,Toscana,what are the best hotels in Montepulciano?,hotels in montepulciano,56900
OBS-I-389d6433-IT,it,borghi,internal,hotel,lusso,Ravello,Campania,quali sono i migliori hotel di lusso a Ravello?,hotel 5 stelle ravello,2040
OBS-I-3921a7b2-IT,it,borghi,internal,hotel,,Corinaldo,Marche,quali sono i migliori hotel a Corinaldo?,hotel corinaldo,2980
OBS-I-39e19df4-IT,it,borghi,internal,hotel,,Montagnana,Veneto,quali sono i migliori hotel a Montagnana?,hotel montagnana,1990
OBS-I-3a66a4c2-IT,it,borghi,internal,organizzazione,,Castelrotto,Trentino-Alto Adige,cosa vedere a Castelrotto?,cosa vedere castelrotto,5920
OBS-I-3a75c004-IT,it,borghi,internal,organizzazione,,Barolo,Piemonte,cosa vedere a Barolo?,cosa vedere barolo,5310
OBS-I-3b3dddb6-IT,it,borghi,internal,hotel,,Montepulciano,Toscana,quali sono i migliori hotel a Montepulciano?,hotel montepulciano,34000
OBS-I-3be2c2c6-EN,en,borghi,internal,hotel,,Cison di Valmarino,Veneto,what are the best hotels in Cison di Valmarino?,cison di valmarino hotels,1520
OBS-I-3bfaadb6-IT,it,borghi,internal,organizzazione,,Mondavio,Marche,cosa vedere a Mondavio?,mondavio cosa vedere,3240
OBS-I-3ca782e4-IT,it,borghi,internal,organizzazione,,Arco,Trentino-Alto Adige,cosa vedere ad Arco?,cosa vedere ad arco,1960
OBS-I-3cd940ab-IT,it,borghi,internal,hotel,,Atrani,Campania,quali sono i migliori hotel ad Atrani?,hotel atrani,3760
OBS-I-3cd98d6b-IT,it,borghi,internal,organizzazione,,Treia,Marche,cosa vedere a Treia?,treia cosa vedere,1520
OBS-I-3d09a6c3-IT,it,borghi,internal,organizzazione,,Calcata,Lazio,cosa vedere a Calcata?,cosa vedere calcata,8280
OBS-I-3d1375e6-IT,it,borghi,internal,organizzazione,,Fortunago,Lombardia,cosa vedere a Fortunago?,fortunago cosa vedere,4510
OBS-I-3d1ff5a2-EN,en,borghi,internal,organizzazione,,Alba,Piemonte,what to see in Alba?,what to do in alba,3390
OBS-I-3daf5597-IT,it,borghi,internal,organizzazione,,Civita di Bagnoregio,Lazio,cosa vedere a Civita di Bagnoregio?,civita di bagnoregio cosa vedere,10600
OBS-I-3f5f36fa-IT,it,borghi,internal,organizzazione,,Todi,Umbria,cosa vedere a Todi?,todi cosa vedere,16280
OBS-I-3fd1b626-IT,it,borghi,internal,organizzazione,,Poffabro,Friuli-Venezia Giulia,cosa vedere a Poffabro?,poffabro cosa vedere,2970
OBS-I-3fe6d17f-IT,it,borghi,internal,organizzazione,,Dozza,Emilia-Romagna,cosa vedere a Dozza?,dozza cosa vedere,10560
OBS-I-3feb5f8c-IT,it,borghi,internal,hotel,,Marostica,Veneto,quali sono i migliori hotel a Marostica?,hotel marostica,5480
OBS-I-4009c84a-IT,it,borghi,internal,organizzazione,,Castel Gandolfo,Lazio,cosa vedere a Castel Gandolfo?,cosa vedere castel gandolfo,15080
OBS-I-408e1124-EN,en,borghi,internal,hotel,,Rocca Calascio,Abruzzo,what are the best hotels in Rocca Calascio?,rocca calascio hotels,2580
OBS-I-41e129d4-EN,en,borghi,internal,organizzazione,,Todi,Umbria,what to see in Todi?,things to do in todi,1490
OBS-I-4367efbc-IT,it,borghi,internal,organizzazione,,Chiusa,Trentino-Alto Adige,cosa vedere a Chiusa?,chiusa cosa vedere,4640
OBS-I-43a76e96-EN,en,borghi,internal,hotel,,Sermoneta,Lazio,what are the best hotels in Sermoneta?,sermoneta hotels,2510
OBS-I-43b5b7b8-EN,en,borghi,internal,hotel,,Panicale,Umbria,what are the best hotels in Panicale?,panicale hotels,1570
OBS-I-43cc2352-IT,it,borghi,internal,organizzazione,,Martina Franca,Puglia,cosa vedere a Martina Franca?,cosa vedere martina franca,9110
OBS-I-46001e36-IT,it,borghi,internal,organizzazione,,Castelmezzano,Basilicata,cosa vedere a Castelmezzano?,cosa vedere castelmezzano,7570
OBS-I-463b4d40-EN,en,borghi,internal,organizzazione,,Montepulciano,Toscana,what to see in Montepulciano?,things to do in montepulciano,10630
